15/12/2013 5:16:03 AM
INFO  2013-12-15 16:15:37,187 - Installing model item: QuoteNotes (\Entity Model\Irrigation Quotes\IrrigationQuote\QuickForms\QuoteNotes.main.quickform.xml)
INFO  2013-12-15 16:15:37,198 - Successfully installed QuoteNotes (\Entity Model\Irrigation Quotes\IrrigationQuote\QuickForms\QuoteNotes.main.quickform.xml)
INFO  2013-12-15 16:15:37,204 - Installing model item: QuoteProducts (\Entity Model\Irrigation Quotes\IrrigationQuote\QuickForms\QuoteProducts.main.quickform.xml)
INFO  2013-12-15 16:15:37,215 - Successfully installed QuoteProducts (\Entity Model\Irrigation Quotes\IrrigationQuote\QuickForms\QuoteProducts.main.quickform.xml)
INFO  2013-12-15 16:15:37,222 - Installing model item: SoldToShipToTab (\Entity Model\Irrigation Quotes\IrrigationQuote\QuickForms\SoldToShipToTab.main.quickform.xml)
INFO  2013-12-15 16:15:37,234 - Successfully installed SoldToShipToTab (\Entity Model\Irrigation Quotes\IrrigationQuote\QuickForms\SoldToShipToTab.main.quickform.xml)
INFO  2013-12-15 16:15:37,240 - Installing model item: IrrigationQuoteItem (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\IrrigationQuoteItem.TA_QUOTESIRRITEM.entity.xml)
INFO  2013-12-15 16:15:37,337 - Successfully installed IrrigationQuoteItem (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\IrrigationQuoteItem.TA_QUOTESIRRITEM.entity.xml)
INFO  2013-12-15 16:15:37,345 - Installing model item: OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterDelete.method.xml)
INFO  2013-12-15 16:15:37,352 - Successfully installed OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterDelete.method.xml)
INFO  2013-12-15 16:15:37,358 - Installing item: OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterDelete.method.xml::Primary Steps::OnAfterDelete)
INFO  2013-12-15 16:15:37,363 - Successfully installed OnAfterDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterDelete.method.xml::Primary Steps::OnAfterDelete)
INFO  2013-12-15 16:15:37,368 - Installing model item: OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterInsert.method.xml)
INFO  2013-12-15 16:15:37,376 - Successfully installed OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterInsert.method.xml)
INFO  2013-12-15 16:15:37,382 - Installing item: OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterInsert.method.xml::Primary Steps::OnAfterInsert)
INFO  2013-12-15 16:15:37,387 - Successfully installed OnAfterInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterInsert.method.xml::Primary Steps::OnAfterInsert)
INFO  2013-12-15 16:15:37,392 - Installing model item: OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterUpdate.method.xml)
INFO  2013-12-15 16:15:37,400 - Successfully installed OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterUpdate.method.xml)
INFO  2013-12-15 16:15:37,405 - Installing item: OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterUpdate.method.xml::Primary Steps::OnAfterUpdate)
INFO  2013-12-15 16:15:37,410 - Successfully installed OnAfterUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnAfterUpdate.method.xml::Primary Steps::OnAfterUpdate)
INFO  2013-12-15 16:15:37,416 - Installing model item: OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeDelete.method.xml)
INFO  2013-12-15 16:15:37,424 - Successfully installed OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeDelete.method.xml)
INFO  2013-12-15 16:15:37,430 - Installing item: OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeDelete.method.xml::Primary Steps::OnBeforeDelete)
INFO  2013-12-15 16:15:37,435 - Successfully installed OnBeforeDelete (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeDelete.method.xml::Primary Steps::OnBeforeDelete)
INFO  2013-12-15 16:15:37,440 - Installing model item: OnBeforeInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeInsert.method.xml)
INFO  2013-12-15 16:15:37,448 - Successfully installed OnBeforeInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeInsert.method.xml)
INFO  2013-12-15 16:15:37,453 - Installing item: OnBeforeInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeInsert.method.xml::Primary Steps::OnBeforeInsert)
INFO  2013-12-15 16:15:37,459 - Successfully installed OnBeforeInsert (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeInsert.method.xml::Primary Steps::OnBeforeInsert)
INFO  2013-12-15 16:15:37,464 - Installing model item: OnBeforeUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeUpdate.method.xml)
INFO  2013-12-15 16:15:37,471 - Successfully installed OnBeforeUpdate (\Entity Model\Irrigation Quotes\IrrigationQuoteItem\OnBeforeUpdate.method.xml)
